id,c_sti,c_raj,t_sti,name,name_raj
694,2510,10,6,КОРЮКIВСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,КОРЮКIВСЬКИЙ Р-Н
695,2522,11,6,ЧЕРНIГIВСЬКА ОДПI ГУ МIНДОХОДIВ (КУЛИКIВСЬКЕ ВIД-НЯ),КУЛИКIВСЬКИЙ Р-Н
696,2512,12,6,МЕНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,МЕНСЬКИЙ Р-Н
697,2513,13,6,НIЖИНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,НIЖИНСЬКИЙ Р-Н
698,2514,14,6,НОВГОРОД-СIВЕРСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ,НОВГОРОД-СIВЕРСЬКИЙ Р-Н
699,2513,15,6,НIЖИНСЬКА ОДПI ГУ МIНДОХОДIВ (НОСIВСЬКЕ ВIД-НЯ),НОСIВСЬКИЙ Р-Н
700,2516,16,6,ПРИЛУЦЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,ПРИЛУЦЬКИЙ Р-Н
701,2517,17,2,ДПI У РIПКИНСЬКОМУ Р-НI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ,РIПКИНСЬКИЙ Р-Н
702,2514,18,6,НОВГОРОД-СIВЕРСЬКА ОДПI ГУ МIНДОХОДIВ (СЕМЕНIВСЬКЕ ВIД,СЕМЕНIВСЬКИЙ Р-Н
703,2512,19,6,МЕНСЬКА ОДПI ГУ МIНДОХОДIВ  (СОСНИЦЬКЕ ВIД-НЯ),СОСНИЦЬКИЙ Р-Н
704,2502,2,6,БАХМАЦЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,БАХМАЦЬКИЙ Р-Н
705,2505,20,6,ВАРВИНСЬКА ОДПI ГУ МIНДОХОДIВ (СРIБНЯНСЬКЕ ВIД-НЯ),СРIБНЯНСЬКИЙ Р-Н
706,2502,21,6,БАХМАЦЬКА ОДПI ГУ МIНДОХОДIВ (ТАЛАЛАЇВСЬКЕ ВIД-НЯ),ТАЛАЛАЇВСЬКИЙ Р-Н
707,2522,22,6,ЧЕРНIГIВСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛ.,ЧЕРНIГIВСЬКИЙ Р-Н
708,2510,23,6,КОРЮКIВСЬКА ОДПI ГУ МIНДОХОДIВ  (ЩОРСЬКЕ ВIДДIЛЕННЯ),ЩОРСЬКИЙ Р-Н
709,2513,24,6,НIЖИНСЬКА ОДПI ГУ МIНДОХОДIВ (М.НIЖИН),М.НIЖИН
710,2516,25,6,ПРИЛУЦЬКА ОДПI ГУ МIНДОХОДIВ (М.ПРИЛУКИ),М.ПРИЛУКИ
711,2526,26,2,ДПI У М. ЧЕРНIГОВI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛ.,М.ЧЕРНIГIВ
712,2526,27,2,ДПI У М.ЧЕРНIГОВI,ДЕСНЯНСЬКИЙ Р-Н М.ЧЕРНIГIВ
713,2526,28,2,ДПI У М.ЧЕРНIГОВI,НОВО-ЗАВОДСЬКИЙ Р-Н М.ЧЕРНIГIВ
714,2508,3,6,КОЗЕЛЕЦЬКА ОДПI ГУ МIНДОХОДIВ (БОБРОВИЦЬКЕ  ВIД-НЯ),БОБРОВИЦЬКИЙ Р-Н
715,2502,4,6,БАХМАЦЬКА ОДПI ГУ МIНДОХОДIВ (БОРЗНЯНСЬКЕ ВIД--НЯ),БОРЗНЯНСЬКИЙ Р-Н
716,2505,5,6,ВАРВИНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,ВАРВИНСЬКИЙ Р-Н
717,2506,6,2,ДПI В ГОРОДНЯНСЬКОМУ Р-НI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКI,ГОРОДНЯНСЬКИЙ Р-Н
718,2516,7,6,ПРИЛУЦЬКА ОДПI ГУ МIНДОХОДIВ (IЧНЯНСЬКЕ ВIД-НЯ),IЧНЯНСЬКИЙ Р-Н
719,2599,70,14,ЧЕРНIГIВСЬКА МИТНИЦЯ МIНДОХОДIВ,М.ЧЕРНIГIВ
720,2508,8,6,КОЗЕЛЕЦЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,КОЗЕЛЕЦЬКИЙ Р-Н
721,2512,9,6,МЕНСЬКА ОДПI ГУ МIНДОХОДIВ (КОРОПСЬКЕ ВIД-НЯ),КОРОПСЬКИЙ Р-Н
722,2548,97,12,УПРАВЛIННЯ ПОДАТКОВОЇ МIЛIЦIЇ У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,ЧЕРНIГIВСЬКА ОБЛАСТЬ
723,2549,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПС УКРАЇНИ В ЧЕРНIГ. ОБЛ.,ЧЕРНIГIВСЬКА ОБЛАСТЬ
724,2601,1,2,ДПI У ВАТУТИНСЬКОМУ Р-НI М.КИЇВ,ВАТУТИНСЬКИЙ Р-Н М.КИЇВ
725,2610,10,2,ДПI У ПЕЧЕРСЬКОМУ Р-НI М.КИЇВ,ПЕЧЕРСЬКИЙ Р-Н М.КИЇВ
726,2611,11,2,ДПI У ПОДIЛЬСЬКОМУ Р-НI М.КИЇВ,ПОДIЛЬСЬКИЙ Р-Н М.КИЇВ
727,2612,12,2,ДПI У РАДЯНСЬКОМУ Р-НI М.КИЇВ,РАДЯНСЬКИЙ Р-Н М.КИЇВ
728,2613,13,2,ДПI У ХАРКIВСЬКОМУ Р-НI М.КИЇВ,ХАРКIВСЬКИЙ Р-Н М. КИЇВ
729,2614,14,2,ДПI У ШЕВЧЕНКIВСЬКОМУ Р-НI М.КИЇВ,ШЕВЧЕНКIВСЬКИЙ Р-Н М.КИЇВ
730,2615,15,1,ГУ ДФС У М.КИЄВI,М.КИЇВ
731,2602,2,2,ДПI У ДАРНИЦЬКОМУ Р-НI М.КИЇВ,ДАРНИЦЬКИЙ Р-Н М.КИЇВ
732,2603,3,2,ДПI У ДНIПРОВСЬКОМУ Р-НI М.КИЇВ,ДНIПРОВСЬКИЙ Р-Н М.КИЇВ
733,2604,4,2,ДПI У ЖОВТНЕВОМУ Р-НI М.КИЇВ,ЖОВТНЕВИЙ Р-Н М.КИЇВ
734,2605,5,2,ДПI У ЗАЛIЗНИЧНОМУ Р-НI М.КИЇВ,ЗАЛIЗНИЧНИЙ Р-Н М.КИЇВ
735,2650,50,2,ДПI У ГОЛОСIЇВСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ГОЛОСIЇВСЬКИЙ Р-Н М.КИЄВА
736,2651,51,2,ДПI У ДАРНИЦЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ДАРНИЦЬКИЙ Р-Н М.КИЄВА
737,2652,52,2,ДПI У ДЕСНЯНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ДЕСНЯНСЬКИЙ Р-Н М.КИЄВА
738,2653,53,2,ДПI У ДНIПРОВСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ДНIПРОВСЬКИЙ Р-Н М.КИЄВА
739,2654,54,2,ДПI В ОБОЛОНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ОБОЛОНСЬКИЙ Р-Н М.КИЄВА
740,2655,55,2,ДПI У ПЕЧЕРСЬКОМУ Р-НI ГУ МIНДОХОДIВ У М.КИЄВI,ПЕЧЕРСЬКИЙ Р-Н М.КИЄВА
741,2656,56,2,ДПI У ПОДIЛЬСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,ПОДIЛЬСЬКИЙ Р-Н М.КИЄВА
742,2657,57,2,ДПI У СВЯТОШИНСЬКОМУ Р-НI ГУ МIНДОХОДIВ У М.КИЄВI,СВЯТОШИНСЬКИЙ Р-Н М.КИЄВА
743,2658,58,2,ДПI У СОЛОМ'ЯНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,СОЛОМ'ЯНСЬКИЙ Р-Н М.КИЄВА
744,2659,59,2,ДПI У ШЕВЧЕНКIВСЬКОМУ Р-НI ГУ МIНДОХОДIВ У М.КИЄВI,ШЕВЧЕНКIВСЬКИЙ Р-Н М.КИЄВА
745,2606,6,2,ДПI У ЛЕНIНГРАДСЬКОМУ Р-НI М.КИЇВ,ЛЕНIНГРАДСЬКИЙ Р-Н М.КИЇВ
746,2665,65,8,ОКРУЖНА ДПС - ЦО З ОБСЛУГОВУВАННЯ ВПП ДПС,СОЛОМ'ЯНСЬКИЙ Р-Н М.КИЄВА
747,2607,7,2,ДПI У СТАРОКИЇВСЬКОМУ Р-НI М.КИЇВ,СТАРОКИЇВСЬКИЙ Р-Н М.КИЇВ
748,2699,70,14,КИЇВСЬКА МIСЬКА МИТНИЦЯ ДФС,СОЛОМ'ЯНСЬКИЙ Р-Н М.КИЄВА
749,2608,8,2,ДПI У МIНСЬКОМУ Р-НI М.КИЇВ,МIНСЬКИЙ Р-Н М.КИЇВ
750,2609,9,2,ДПI У МОСКОВСЬКОМУ Р-НI М.КИЇВ,МОСКОВСЬКИЙ Р-Н М.КИЇВ
751,2648,97,12,УПРАВЛIННЯ ПОДАТКОВОЇ МIЛIЦIЇ У М.КИЄВI,М.КИЇВ
752,2649,98,10,РУ ДСАТ ДПС УКРАЇНИ У М.КИЄВI,ГОЛОСIЇВСЬКИЙ Р-Н М.КИЄВА
753,2701,1,1,"ГУ ДФС У ХЕРСОН.ОБЛ.(ВЕЗ КРИМ , М. СЕВАСТОПОЛЬ)",М.СЕВАСТОПОЛЬ
754,2702,2,2,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, ЛЕНIНСЬКИЙ Р-Н  М.СЕВАСТ.)",ЛЕНIНСЬКИЙ Р-Н М.СЕВАСТОПОЛЬ
755,2703,3,2,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ,  НАХИМIВСЬК.Р-Н М.СЕВАСТ.)",НАХИМIВСЬКИЙ Р-Н М.СЕВАСТОПОЛЯ
756,2704,4,2,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ,  БАЛАКЛАВ.Р-Н  М.СЕВАСТ.)",БАЛАКЛАВСЬКИЙ Р-Н М.СЕВАСТОПОЛЯ
757,2705,5,2,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, ГАГАРIНСЬК.Р-Н  М.СЕВАСТ.)",ГАГАРIНСЬКИЙ Р-Н М.СЕВАСТОПОЛЬ
758,2799,70,14,СЕВАСТОПОЛЬСЬКА МИТНИЦЯ МIНДОХОДIВ,ЛЕНIНСЬКИЙ Р-Н М.СЕВАСТОПОЛЯ
759,2748,97,12,УПРАВЛIННЯ ПОДАТКОВОЇ МIЛIЦIЇ У М.СЕВАСТОПОЛI,М.СЕВАСТОПОЛЬ
760,2749,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПC УКРАЇНИ В М.СЕВАСТОПОЛ,М.СЕВАСТОПОЛЬ
761,2800,0,1,МIЖРЕГIОНАЛЬНЕ ГУ МIНДОХОДIВ - ЦО З ОБСЛУГОВУВАННЯ ВП,СОЛОМ'ЯНСЬКИЙ Р-Н М.КИЄВА
762,2801,1,8,СДПI У М.ДНIПРОПЕТРОВСЬКУ МГУМ,М.ДНIПРОПЕТРОВСЬК
763,2810,10,8,ЦЕНТРАЛЬНИЙ ОФIС,СОЛОМ'ЯНСЬКИЙ Р-Н М.КИЄВА
764,2811,11,8,СДПI ВПП В М.СIМФЕРОПОЛI,М.СIМФЕРОПОЛЬ
765,2802,2,8,СДПI ГМК У М.КРИВОМУ РОЗI ДНIПРОПЕТРОВСЬКОЇ ОБЛ. ДПС,М.КРИВИЙ РIГ
766,2803,3,8,СДПI З ОВП У М. ДОНЕЦЬКУ МГУМД,М.ДОНЕЦЬК
767,2804,4,8,СДПI З ОВП У М. ЗАПОРIЖЖI МГУ МIНДОХОДIВ,М.ЗАПОРIЖЖЯ
768,2805,5,8,СДПI З ОВП У М.ЛУГАНСЬКУ МГУМД,М.ЛУГАНСЬК
769,2806,6,8,СДПI З ОВП  У М.ЛЬВОВI МГУ МIНДОХОДIВ,М.ЛЬВIВ
770,2807,7,8,СДПI ВПП У МIС.МИКОЛАЄВI ДПС,М.МИКОЛАЇВ
771,2899,70,14,ЕНЕРГЕТИЧНА МИТНИЦЯ ДФС,М.КИЇВ
772,2808,8,8,СДПI З ОВП У М.ОДЕСI МГУМ,М.ОДЕСА
773,2809,9,8,СДПI  ОВП У М. ХАРКОВI МГУ МIНДОХОДIВ,М.ХАРКIВ
