id,c_sti,c_raj,t_sti,name,name_raj
574,2020,44,6,КОЛОМАЦЬКЕ ВД НОВОВОДОЛАЗЬКОЇ ОДПI ГУ МIНДОХОДIВ У ХО,КОЛОМАЦЬКИЙ Р-Н
575,2014,5,6,IЗЮМСЬКА ОДПI ГУ МIНДОХОДIВ (БОРIВСЬКЕ ВIД-НЯ),БОРIВСЬКИЙ Р-Н
576,2020,6,6,ВАЛКIВСЬКЕ ВД НОВОВОДОЛАЗЬКОЇ ОДПI ГУ МIНДОХОДIВ У ХО,ВАЛКIВСЬКИЙ Р-Н
577,2008,7,6,ВОВЧАНСЬКА ОДПI ГУ МIНДОХОДIВ(ВЕЛИКОБУРЛУЦЬКЕ ВIД-НЯ),ВЕЛИКОБУРЛУЦЬКИЙ Р-Н
578,2099,70,14,ХАРКIВСЬКА МИТНИЦЯ МIНДОХОДIВ,КИЇВСЬКИЙ Р-Н М.ХАРКОВА
579,2008,8,6,ВОВЧАНСЬКА ОДПI ГУ МIНДОХОДIВ У ХАРК.ОБЛ.,ВОВЧАНСЬКИЙ Р-Н
580,2009,9,2,ДПI У ЗМIЇВСЬКОМУ РАЙОНI ГУ МIНДОХОДIВ У ХАРКIВСЬКIЙ О,ЗМIЇВСЬКИЙ Р-Н
581,2048,97,12,ОПЕРАТИВНЕ УПРАВЛ. ГОЛ.УПР.МIНДОХОДIВ У ХАРКIВ. ОБЛ.,ХАРКIВСЬКА ОБЛАСТЬ
582,2049,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПC УКРАЇНИ У ХАРКIВСЬКIЙ ОБЛ.,ХАРКIВСЬКА ОБЛАСТЬ
583,2115,1,6,КАХОВСЬКА ОДПI ГУ МIНДОХОДIВ У ХЕРСОН ОБЛ (М.КАХОВКА),М.КАХОВКА
584,2110,10,6,ГЕНIЧЕСЬКА ОДПI ГУ ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,ГЕНIЧЕСЬКИЙ Р-Н
585,2120,11,6,ЦЮРУПИНСЬКА ОДПI ГУ МIНДОХОДIВ (ГОЛОПРИСТАНСЬКЕ ВIД-НЯ,ГОЛОПРИСТАНСЬКИЙ Р-Н
586,2115,12,6,КАХОВСЬКА ОДПI ГУ МIНДОХОДIВ (ГОРНОСТАЇВСЬКЕ ВIД-НЯ),ГОРНОСТАЇВСЬКИЙ Р-Н
