name
Договір купівлі-продажу (Додаток 1)
Договір роздрібної купівлі-продажу
Договір найму-продажу
Договір поставки
Договір контрактації сільськогосподарської продукції
Договір постачання енергетичних та інших ресурсів через приєднану мережу
Договір міні
Договір дарування
Договір пожертви
Договір ренти
Договір довірчого утримання
Договір найму (оренди)
Договір прокату
Договір найму (оренди) земельної ділянки
Договір найму будівлі або іншої капітальної споруди
Договір найму (оренди) транспортного засобу
Договір лізінгу
Договір найму (оренди) житла
Договір позички
Договір підряду
Договір побутового підряду (Додаток 3 )
Договір будівельного підряду (підряду на капітальне будівництво)
Договір підряду на проведення проектних та пошукових робіт 
Договір про надання послуг (Додаток 2)
Договір перевезення
Договір перевезення вантажу
Договір перевезення пасажирів і багажу
Договір чартеру (фрахтування)
Договір перевезення в прямому змішаному сполученні
Договір перевезення транспортом загального користування
Договір транспортного експедирування 
Договір зберігання
Договір складського зберігання
Договір зберігання речі в ломбарді
Договір зберігання цінностей у банку
Договір про надання індивідуального банківського сейфа
Договір зберігання автотранспортних засобів
Договір охорони
Договір страхування
Договір доручення
Договір комісії
Договір управління майном
Договір позики
Кредитний договір
Договір банківського вкладу
Договір банківського рахунку
Договір факторингу
Договори про розпорядження майновими правами інтелектуальної власності
Ліцензійний договір
Договір про створення  за замовленням і використання об’єкта права інтелектуальної власності
Договір про передання виключних майнових прав інтелектуальної власності
Договір комерційної концесії
Договір про спільну діяльність
Договір простого товариства
